county fair	second place ribbon	in an empty stall
leaving the graveyard...	tens of coffins at the gate	waiting for custom
show in the open air:	some nightingales' arias	supporting the sky
the bare maple tree...	never would she guess, in death,	she'll be a table
listen to the sound	poised on a tender rose	the warmth of my tears
for one day	smile	and mean it.
yummy yummy cake	chocolate cake is superb	now it is all gone
it's burning like fire	it's burning inside of me	i can't control it
only trust in death	dreams often make fools of us	reality kills
lazy saturdays	always avoiding showers	i'll clean up sunday
winter snow falling	houses covered in white fluff	fireplaces glow at night
winter and spring	summer with sunlight once again	silver autumn moon.
weblogs can be fun	however with no update	they do get old fast
as i sit zazen	the soul of jack kerouac	sits down beside me.
buddha and christ meet	on a cloud high in heaven	both needing a rest
can you fall in love	with one look into their eyes?	answers will appear.
one day it's too cool	the next day it's far too hot	miss california
"come, spring!	come, old man!"	the pigeon coos
the air shimmers.	whitish flight	of an unknown insect.
being awake	he says he is already asleep.	autumn chilly night.
i've nothing to do,	my hand lives to please you all.	eyes of a kitty.
doom on one machine,	haikus on the other one...	lunch break in summer.
rain stifles the heat,	two more days 'til classes start.	the cats will miss me.
a man without love,	is a man without a soul,	a man without hope.
worship a woman,	she bares the seeds of all life,	love her forever.
grey noon	a lone seagull	flying inland
the door covered	by shade of mulberry tree-	do i open it?
way of traveller-	a chicory field reaches	the horizon line
stars up in the sky-	next to me on the grassland	just a firefly
sun is burning now,	burning here and burning there	do you feel the warmth?
i don't understand	i can't reason with it	and i never will
when he stops thinking,	he's still breathing, in and out
blankets of white snow	become waves of bold heat	as seasons grow old
the earth is shaking	water is rushing ashore	there is nothing left
smile hides everyhting	it's deep and shallow	it can kill someone
the sun bright	scorched the moon	away
run quiet and swift	evil senses noise and haste	never stop to breathe
a halo of mist	comes over the rising sun:	an autumn morning
a warm summer night,	on my bed i meditate...	colors go away.
linux shall rule soon	it will overcome gates	but now it still grows
a crystal clear night-	the pearl-diver in the depth	by the naked moon
solar eclipse-	a gaping crowd of people	all watching the sky
it's so much slowly	the shadow of the great temple	on a blade of grass
grey group is the best	so are the mint and green group	so prize are given
after a big rain,	appear a pretty rainbow	how nice the skies is
love is lost	snow falls	it's all the same
as the seasons change	love is lost	what can be done
i will go on	alone but not	friends are with me
bright moon rises	dark water shines	poor man's paradise
the helicopter	hovers above me	m60 shells destroy
old woman alone	never creating attachments	life is like a dream
man who looks into life	too much	overlooks it
silence eternal	a thousand birds beauty	supressed by mind
typewriters are great	to press the keys, what a joy	the ding of the bell.
stripe a golden flash	body cuts between green blades	a tail left writhing
all the butterflies	flapping their wings inside me.	longing to escape.
green moss on the wet roof;	springy shimmering soggy	starlings' comfy bed
botton of the heart-	even the dust of grave feels	the homing pigeon
cold. in the first line	having  as weapon their innocence,	the young people
hot summer-	an ant hid	under a leaf
forever thirsty	some people drinking from my cup,	i taste the clinking...
lime trees in blossom	incensing the monastery-	resurrection's day
light like by day time...	the moon happily nestling	in yesterday's snow
awake	before the alarm clock	listening to pigeons cooing
winding road at dusk	the logger slows down	for a deer
the samurai's sword	coated in blood of humans	samurai fight on
the elegant crane	it seems to drift like a dream	seems lighter than air
walking through the woods	how it seems so peaceful here	surrounded by life
sparkling fall leaves	baby panda takes first steps	each day is a gift
struggling conger ant	-icipating a view more	likely a pastie
numb, useless, worthless	fading to oblivion	nothingness i breathe
so early for snow	the poeple are unprepared	disaster follows
as heartbeats hasten	a butterfly emerges...	my glee takes flight too
as heartbeats hasten	a butterfly emerges...	glee takes flight too
unfortunate words	can't won't shouldn't didn't	the saddest in life.
churches sit empty,	their songs of praise now silenced.	time for rocks to sing.
karen waits for me,	sitting in her plainview home.	three months til i'm there.
i hear the songbird	it is calling to me, but	i am deaf to it.
now the wanderers	they follow the lonely path	but they are happy
i am spirit and	i am soul. i am wonder.	i am your true self
woodpecker tapping	on the forest glockenspiel;	tympanic oak clunk
high up in the air	upon a carpet of grey clouds...	the plane leaves a trail
crabs fallen in love	combing the trees of the moon-	waves after waves
beautiful orchard-	i gather the summer past	from the ripe pears
summer evening-	at the window some butterflies	criss-crossing the moon
full moon is rising	parishioner's pious prayer	without votive light
the feeling ends	i don't know why	spring returns
my writing flows	as my heart pours	my spirit soars free
blades clash against blades	arrows pierce sodden armor	and peace was no more
darkness envelops	the enemy is unseen	yet he walks onward
porcelain toilet	ice cold beer and a corndog	i don't miss the sand
the rain pouring down	floods his home until he floats..	then a bird eats him
the cricket season	boundaries marked  -  razor-wire	round the clubhouse roof
furious mother	dressed only in a towel  -	giggling from the woods
looking through the glass	you can see the sun rise up	to greet a new day
leaves waving	summer breezes, autumn gales	good-bye. leaves.
warm day spaced head	everyone is talking strange	pollen fills my skull.
why are they afraid	of that little spider's web	broken easily
the world spends millions	on ways to entertain us	while we sit and starve.
white clover	moth lands -	stalk bends
no mistaking it	i must step on the fallen	to follow my dream
only a ladybird	on a leaf in the sun-	the gardian's park
a straw is burning-	over there after our death,	we shall meet again
a single snowdrop is	rising in the furtive way-	this snow-white triumph	in last night in furtive way,	this white triumph
after the sunset,	the field filled up to sky...	chockfull of crickets
under the burden	of its own heavy color,	dahlia in bloom
not to die, guilty?	fallen soldiers overlook	old men in afghans
back into the fog	amidst the red-wood oak trees	this; meditation
...in a borrowed coat	he has new letters	after his name  -  widower
my brain is a box	full of small seagull feathers	ask me a question.
the dalai lama	chants my mind into a dream	om can clear my thoughts.
wake up one morning	note on the bedside table	my girlfriend is gone
cloudy summer day	the bees are buzzing loudly	a hammock beckons
my chinese sister	is more beautiful than jade	caught in a sunbeam.
green frog in the road	can't decide it's direction.	look at the dead frog!
turn on your tv.	watch a reality show	where no one is real.
your kiss	(and chocolate)	my addictions
nature is a girl	an extremely pretty girl	she's really liked
porcelain toilet	ice-cold beer and a corndog	i don't miss the sand
i called to the wind,	"who's there?... whoever it was	still knocks at my gate.
peace eternity freedom love banana       hilarious
orange morning moon	hangs above neighbours roof top	i fall back to sleep.
black woodburning stove	keeps me warm on a cold night	thank you to the tree.
dreaming in the night	i awake thinking of you	echoes from my soul.
blackberries shrivel	spider webs stick in hair
dead grey cement chunk	crumbled from the ha-ha wall	whitewashed by swallows
bent leafy arrow	of ilkley bracken fallen	among picnickers
solitary dream	wandering over the hill...	a poor traveller
against the mountains	peaks and troughs of turmoiled sea	lay flat before me.
the summer shade shifts,	in a momentary time	of june and quiet.
russian mobsters,	brooding over	chessboards -
building now rubble,	bruce banner	got angry!
i'm a grain of dust	in the mercy of the wind...	my single eternite
october's blood moon	internal tides ebb and flow	the world is in flux
like a winter dream	kittens jump in snowflakes	look-mother now smiles!
mountain path leads there	but somehow i got stuck here	along the wrong path
sirius shining	i see her through the window	eight light years away.
we did a bootsale	it was the first one this year	people like seagulls
my wheels stuck in mud	to break free impossible	please, someone help me.
incessant dark rains	dismal and monotonous-	pushes to dry hills
a little flower	watching the wonderful moon	set into the dawn
the animals sit	making the only loud noise	is raging thunder
dream fragment in sun;	the light-embedded day blue,	rolling off the night.
our dialogue strains	in minutes to the day's clock;	nighttime alarmums.
melancholia,	and the subtle shift of dusk;	darkly dropping night.
a harsh winter wind	comes through my heart strings blowing	into emptiness
unfathomable:	our empty day of language,	and thoughts for the night.
hungry sparrows flit	on the empty bird feeder,	light snow on the ground
birds chirping a lot	people singing all the time	birds are going south!
the sun lifts its warmth	sitting here in emptyness	falling in the cloud
get rid of clutter	i find it rests my thinking	the moon and i zen
my back gives pain	i learn to loose dignity	to stand is to cry.
i write my haiku	by candlelight in my bed	so quiet outside.
where is the full moon	hidden by mist and tall trees	vivid in my mind.
i dream of a room	it was a makeshift home	i talk to myself.
the wonderous moon	sitting on the horizon	waiting for morning
the wind blowing hard	but the leaves make no sound	which guides the spirit
the spirit guides you	through the wonderous forest	the forest of life
the wind is angry	howling with furiousnes	for the days coming
from the warm distance	of decades in your smile,	you appear to me.
tinkling key stroke blues	washed out in fleets of summer;	the gray sunday float.
identity shouts	through a forest fog of language;	self-affirmation.
disillusionment,	shadowed up in the new year;	fragmentary blues.
murky mess of thought,	twitching in the unconscious;	submerged energy.
chance encounters lie	dormant in the daily air;	time's foggy grayness.
traveling home now	through the gray-backed wash of day,	rain on the highway.
a purple cherry tree	points west to the rounded hills;	east wind in summer.
in luminous night;	familiar moon reflects-	on the unknown sea.
above the ripple	and squall of deep troubled sea-	glides a flying fish.
field of grass and weed...	beautiful beyond the wire;	only beside trees.
full of pink and gray,	still leafless from the winter.	galahs in the oak.
jealous fits the rage	of daylight sour time saved	for the winking night.
pink tissue floating	in a white toilet bowl -	spring . . .
the bees are buzzing.	beautiful flowers are here.	the flowers smell good.
the season of love	snow blankets the mountain side	i stare with full heart
delicate, lacy	butterfly gently touches	silently away
keep out sign on path	flowers steadily spreading	never learned to read
pretty purple rose	along the water coast line	with a sweet smell occurs
heavy wind and rain,	the drop of watery time	on a windowpane.
broken line of geese	high in the gray autumn sky,	fly on despite loss
splashing home from school	in yellow raincoats, children	laugh under dark skies
frozen blowing white,	and all our plunging lifetimes	twitch in winter cold.
separate words fall,	down gray days of rainy past	and fragmented thought.
leaf rides sutumn stream	trout regrets its slow passing	hungry wait til spring
clouds sit still above	mountains stir a placid sea	nature's beauty glows
a murder of crows	sit on a rickety fence	waiting for something
two girls sitting in	the park ignore the light rain,	zen meditation
moon over the snow	do the dogs scare the coyotes	or coyotes the dogs
days the hours make	in seconds to our prompting,	haphazard moment.
shadowy distance,	the hectoring hurt of day	in a flat echo.
broken glass and all,	i wait behind the mirror	for a tweek of sun.
realization:	time's accidental moments,	my limitations.
frozen blowing white,	and all our plunging lifetimes	twitch in winter cold.
sunrise gray to white	midday black limbs shadow snow	sundown blue returns
ordinary talk,	the squirm of conversation:	nothing much is said.
opportunities,	diminished in passing time:	our lost narrow years.
unpredictable:	the chaos of streaming years,	in a moment's time.
twenty-five small jade	buddhas sit in the window	waiting to be bought
winter aproaches	working years are finishing	spring will not return
yellow jelly beans,	yum yum yum,	so much lemony flavor,
water drips down,	from pans own hand,	as it rains upon us,
phantom flame,	a warm wicker,	beauty of the dark night,
mass marketing,	subliminal messages,	what has the media come to,
armor clad samurai,	win back honor,	plunge tanto into chest,
men walk down the moonlit path,	kimonos dangling,	like pagan gods,
    	    	(can u read this)?
the sun is very bright,	while we sit there in the light,	the sun is setting.
hi peoples ,gay ha	hahahahahahaha	hehehehehe
cold morning sun -	thin frost	on a sparrows wing
warped by fire	the wheelie bin carcase	still smoulders
the day cracks laughter	in fragmented finite time,	our shifting moments.
daytime fit of rage	in a flat failing moment:	cubicle tantrum.
enigmatic you,	treading the elusive day	away from me now.
common mystery:	the thrust of hidden meanings	i don't understand.
the day cracks laughter,	in fragmented finite time	and shifting moments.
shadowy distance,	the hectoring hurt of day	in a flat echo.
dream fragment in sun:	the light-embedded day blue,	rolling off the night.
dissatisfaction:	the yawning stretch of worktime,	in afternoon space.
neighbor shot my dog	claimed he killed all his chickens	today they came back
snows force elk downhill	farmer drives elk to mountain	no place left to starve
small tree by big house	days weeks months seasons and years	small house by big tree
pheasant regal on drifts	strutting he oversees all	sometimes he breaks through
to him beautiful	lived, loved, cared, raised family	she forgets his name
inexplicable:	all the sensory data	of a brief lifetime.
blood pours from mouth,	the undead is back,	rise of a vampire,
the water stands still,	as the wind flows over the hill,	then again, were camping
pearl light, on cold shore,	lights up the indigo sand;	i can see my way home.
everyone is talk-	ing and we need to stop to	pass this class today
time comes in trial	steeps of meandering thought,	fractal memories.
morning ritual,	the day's greeting between us:	no intimacy.
melancholia	and the subtle shift of dusk,	darkly dropping night.
identity shouts	through a forest fog of language:	murky mess of thought.
the summer shade shifts,	in a momentary time	of june and quiet.
vending machines,	so many snacks,	so much diversity,
bullet fly high,	out of long tubes,	like birds of lead,
the ugly old crone,	the poet prodigy,	and the dreamer unite,
golden sun,	pitch black moon,	the gods of day and night,
feels so good,	let it all out,	bad day on potty,
dragonfly,	crystal eyes,	flutter in the sky,
the snake awakens,	as a cry cuts through the night,	from a far off prey.
hunting a monkey	in the forest with my bro	so crazy o so crazy.
spinning, twirling leaves.	moving around the tall trees.	fall leaves, winter comes.
summer time to play,	basketball soccer baseball,	what do you say chief?
a breeze of winter,	the wind on my face is nice,	i smell the flowers.
monkey's swing through tree"s	thowing bananas at him	hit on the head dead!
sleeping beaver smells	bad, very bad, it kills humans	dead guys smell bad too
bow moves so fast	through trees and through the leaves	hitting the target
the sun is bright today,	moring due glimers on the tall grass,	for it is still morning,
sun is shinning bright,	morning due on the tall grass	for it is still morn.
milk milk lemonade,	in the ocean fish living,	they are so happy.
the breeze in the trees,	fast and cool when it hits me,	makes me shake my knees,
the summers day comes,	like a bundle of roses,	floating on a pond.
the sun is so bright,	shinning on the ground this morn,	its so beautiful.
the sun is yellow	the grass is very bright green	and is very clean
water could be deep,	the water may be vicious,	yet it stops the heat,
the nature calls me ,	there is something dangerous,	i should not be scared
i sit on a boat	something "wow" catches my eye	wondering what the	..
little birds fly far,	but big birds fly close to us,	the birds go away.
summer brings the sun	how we wish winter was done	but fall is so fun
fish swim under lake	yum yum delicious fish bake	now in my stomach
yo wut iz haiku	is it sumtin dat you do	well wat do you do
i love pizza	do u love pizza?	i love pizza!
haikus	suck	ma meatloaf
hobos are really	on mondays, and tuesdays they	are with a guitar
cody wants to be	a hobo during school days	he will break your fall
people are trying	to go to the bath-	room and they won't go
wind is strong tonight	large wildfires could start tonight	turn up the tv
sleep beckons	the far grey country	beyond clouds
email flashes up	sullen workload increases	endless lines and lines
our dialogue strains	in minutes to the day's clock:	smiling alarums.
from the warm distance	of decades in your smile,	a winking night's dream.
tinkling key stroke blues,	washed out in fleets of summer:	the gray sunday float.
the days and hours fall,	in drops of watery time:	morning finitude.
greedy man,	steal steal steal,	mad with power,
last battle of a long war,	the one that decides it all,	the thrill of the fight,
man in white robe,	hung on lowercase t,	my first look at christianity,
i'm da bomb,	da samuri pirat,	communicating with urban hipsters,
something not spoken,	taboo's are not to be told,	make no exceptions.
summer is so fun	summer you can laugh and play	summer is the best
spring will never come	it is always snow, snow, snow	snow, please go away.
the hobo frets fast	in a desert, very vast	then he burst in flames
wind whistling hard	through the trees, waking my dreams	turn over to sleep
light is shining bright	glowing like stars in the sky,	oh my! it is night!
earth, wind, water, fire	these can all be a desire	only one can win.
we need to end school.	it has gone on for so long.	it is summer time.
i hate the winter	its way too cold and windy	spring and fall are best
i am like nature.	i can roar like a liger.	i will be very scary.
the hobo frets fast	in a desert,very vast	then he burst in flames
yo wut iz haiku	iz it sumtin dat you do	well wat do you do
the clouds are high sky	up there in the bright sky	the clouds are fading
glisten in the sky,	the stars, like bright topazes,	mesmerize the trees.
hobos are stupid	they often live in box cars	nobody likes them.
good morning aaron	you are quite insensible	you make bad haiku.
hobos are quite soft	so abundant on playgrounds,	they can break your fall
bronwyn is a freak	hee hee ha ha ha ha ha	freaky bronwyn help
cameron is weird	he thinks he is a basho	hee hee ha ha ha
meg is smelly poo	she smells like whiffy blue cheese	smelly meggy smells
brenzo is a bum	she smells like an old cheesepuff	no-one likes bronwyn
brenzo is stinkey	bronwyn is a cheesepuff too	brenzo is stinky
haiku addiction	paper scraps easy prey	intent poised pen waits
wording of haiku	poetry without substance	catches on the air
cold pebbles	sensations on skin	warmly now
lonely night	maq fills it nicely	of warm thoughts
the trees have the mist	smoke, fire- two bodies, one act	i but have a heart
brown innocent eyes	i shiver when i feel you	still you're far away
without you beside me	all i have is my fear	that you won't return
a campfire dims	its flames turn to dark ashes	only to light again
mahogany clouds,	racing home as darkness comes,	leaving joy to melt.
autumn, a sad dove,	flaps her wings to fly away;	i wonder where to?
i dream of summer
it was raining out	as i looked out the door	then there was thunder
cutting down the tree.	it is a long way to fall.	deforestation.
summer time is fun	so many things to do	lets go have some fun
water is cool,	water may be dangeous,	yet it stops the heat,
i need help	i need a haiuku poem about the trojan war as you as a sloider	please help!!
nighttime is coming	go to sleep weary hobo	nest in a boxcar
john bell hood is strange	his picture is in classrooms	his face is too long
we are all hobos	some of us live in boxcars	some of us do not
in the grape day park	hobos, under every tree	one strums a guitar
yay for the hobos	yay yay happy yay happy	hobos are happy
flay all the hobos	flay all the hobos alive	their hides are so thick
from the recluses  cell	the sweeat sparrows twitterings haunt	- meditaiton fled.
the poor man is like	a planet- and his desires	revolving sat'llites !
my floor is quite flat	looks asthough a vast expanc	i hate soft drink stains
sean is cool-sort of	he has lots more friends than bron	she is friendless-ha
oh skatepark, my foe	your concrete curves provide pain	oh skatepark! i cry
cody writes a lot	of haikus, and deserves to	get an award yeah
mary poppins is	here at bear valley middle	school and is very...?
if i could sail far	far away, stone vegitate,	i would happily
the trees have the mist	smoke, fire- two bodies, one act	i but half a heart
the path to heaven,	is paved with spikes and thorns but,	reaching is divine
the waters slip away	what we put off for tomorrow	must now become today
others simply walk.	you move like silk in warm air.	i you beauty dwells.
cranes dance on silk	lotus flowers on still pond	mother's kimono
evanescent dream	disintegrating castle	no longer supreme
mornings are mornings,	timeless in my tiny world,	my earth, azure joy.
ah... summer breeze ah...	she loves to make us warm	ah... summer breeze ah...
the grass is growing	or i am dwindling low	but the world wont stop
it was raining out	as i looked out the door	then i heard thunder
i love cars so much	they can go fast like lambos	and burn rubber too
i am a cool guy	i think that peoples are random	yay to the me, yeah
not as like before	why the sudden change in wind?	questioning the fall
brisk as time's pace,	wondering who i am now,	not who i once was.
the shimmering mist	on the clear smooth glass	a breath in and out
the mouse eating seed	the black cat in the grasses	life at a standstill
the pregnant lady	stared at her man's member and	remarked, "that looks fake."
bright white snow and ice.	biting bone chilling cold wind.	i made hot kale soup.
comment2, xenical,  uba, diazepam,  >:-)), buy
soundless low gray sky	air spiced with applewood smoke	fall will end tonight
atop peak all down	within valley all are up	hillside path variety
in battle with fall	winter coldly sneaks by	defeat is chilling
neighbors shoot their coyotes	mine eat the mice and gophers	mine must be better
some think horrific	on the ground, white all around	i say terrific
play table sitters,	like an old mans erection,	sad and yet funny
rainy afternoon	black dog shivers at the door	throws in the towel.
rhododendronbush:	each bud saved her flower	for this sunny spring.
colorful fall leaves fall	blowing in the pretty	calming and soothing
sarah likes to hack	computers every morning	in a the classrooms
captain mot has a	hot which he likes to wear a	lot during school days
attempted haiku	may seem contrived or may not	how about this one
oak tree bare roots up	lies broken across my path	rotting back to earth
ominous fingers	point from autumn's morning sky	heaven beckons us
i have a stick	i have a woody	where is my cactus
balls	need licking	like felt
fountain pen gliding	across silky white vellum	thoughts actualize
he stuck in his thumb	and made her cum. she was not	loud. but cum she did.
he wonders: is it	acceptable? it might be	controversial. sigh.
kittens circling	while mother searches for milk	here comes there owner
swallowing the bait	catfish hooked on ten pound test	no dinner tonight.
honeybees browsing	on the flowering hostas	even in this heat.
oceans of light spill	like rice wine from lips which have	kissed the rising sun.
ants on a picnic	i told you this would happen	you never listen
rocky mountains rise	against a clear western sky,	where the eagle flies.
the stars in the sky	twinkle so bright in my eye	looking up at me
death, a mystery	never comes,never wanted	just a a menace
lonely mountain	gazing below	at fertile valleys
the time here is brief	chamber music fills the hall	when peace rules the dawn.
outside my window	it is raining all is wet	but not my spirit
bathing boys	water cools	hot tap on, and on
a great cement lion	guards my front door 	i sneak out the back.
a pond,	frog jumps in,	i follow.
i have a stick	your eyes are brown	hello carpet
existential	universal explored	quantified boredom
snowflakes pirouette	scrabble cold alphabet soup	from a haiku sky.
something tiny	boldly swimming shore to shore	in my water glass
on the lonely moors	the wind cuts into your face	stranded, far from home
a tree in twilight	i follow the sound of birds	to their silhouettes
searchlights scissor sky	siren hurds us down the tube	drowning under dricks
brown eyes black coffee,	i woke up early today,	and it was snowing.
indian summer
inside the mirror	an onion peeling itself	over and over
natural beauty	ever changing hills and dunes	cold, ruthless killer
something's gathering	the animals are long gone	thunder is roaring..
it sways all alone	nature gave it its place here	we take it from it.
outside, something brews	the wind is strong, the air's cold	nature is acting.
green towering trees	meadows with green, green grass	perfect spot to rest.
lying jerk he is,	acts all sweet and innocent,	well what should i do
sick of this torture,	feel so unhappy today,	i wrote a haiku.
horizon, moving	only when you do, constant	ruler of the sky
five, seven and five.	this seventeen syllables	caught in a pom.
looking at nature,	seeing struggle and splendour	a nw thought was caught.
i know many words	but i may not speak them here	at grandfather's grave
oregon sun sets late	three sisters sit so lonely	pale moon draws anear
birds just want to be	free as their wings let them be	cages cause them pain
one day we will die	what then is the need to kill	still we go to war
my world once so dark	light has become mute, like pitch	impenetrable
tiger in the grass	my baby boy	tickled nose
morning sun	rangitoto looms	alive at last
winter sun	warm woolen back	cloud cools
gray steamy morning	soft voice of falling rain	rose petals shudder
my heart thumps	and my eyes stare into the distance	the loud sound! its over in a flash
its fragile grip lost	a leaf drifts gently to earth -	winter calls us home
dark clouds rolling in	consume the sun with their wrath -	hotdogs on the grill
moving reflections	of clouds upon the water	blurred from gods tears
summer nights air 	both my mind and cigar smoke	drifting.
in a show of power	i take from my sister	happiness.
a grasshopper on	my hand, pretending	to be a leaf.
shopping all day	no more at ease	than before.
heart beats patiently,	i wait quietly for my love,	do i wait in vain?
i don't why life	has to be so rough	so confusing
love is what you give-	fragrant flower in the wind	the shade of a tree
once upon a time,	(how original that was)	...where was i again?
misshapen ugly	hiking boots; just the right look	to go with my brace
overturned earth for	the new garden-birds dive in	for the harvest
dont step on the cracks	in the butterfly garden	oops	one insect less.
my cuban lover	twirls the knit scarf from her neck	and she is naked.
droplets cling to glass	as if suspended in air.	spring pitter-patter.
sleep brings needed calm	after a long day of work.	close your eyes and dream.
fresh rabbit road kill	steaming in the tule fog	unseen crows chuckle
brown crosses my mind	as i flush the white toilet,	the thoughts go away
flowers are dark red	they smell like the deep brown stuff	they taste like poopy
rain is falling down.	the leaves are green and orange	i am wet and cold.
pokemon are great	they always catch the poke bait!	gotta catch em all!
the birds are chirping,	i love the mud under my feet,	leaves are returning
the leaves have fallen,	the wind just sweeps them away,	therefore kids can play.
dip drop bang boom flash	the rain, thunder, and lighting	feel, hear, see the storm
drip drop bang boom flash	the rain, thunder, and lighting	feel, hear, see the storm
something is coming. . . .	its going crack, boom, bang. . . . .	omg its a s t o r m
dog chases mouse needing food	ends up with a house with mouse	under never having mouse dinner.
a tiger in africa	hunting a gazelle	in plane site
walking through the woods	i hear click crash trees falling	waited a second
i love the sound of hocking.	like the movie meet the fockers.	the men honk when they're horny
hobos are stupid	the often life on the streets	they dont own nutting
the snow is coming down hard	ooo please	please	please	yes	no school today
rain in the distance,	blackout in the large city,	the storm is strong.
hakahaka boom boom bam!!	hefhoohaa jaja pop	illy illy hoohaa shabam
ching chang cho	boom bam bo	loop lap lah.
lolololololol lolol lolol	sdfgdfojgdsnjfhbfgnb	gbdfghfghbfghb
the wind is ice cold	the ice is everywhere	i'm stuck in winter
appetite fulfilled	all wanted, nothing needed	a life alone paid
only best and cheap pills:	free viagra. buying viagra online. natura
perfect eye exam	god in his compassion knows	already deaf
my favorite shade	of green in fashion again	-spring
snakes are eating mice,	they are very mean today,	i think one saw me.
people have good things	some people just smell nasty	and people are gross
i wish for someone	to remove pretend haiku	go back to honor
fog comes on little cat feet.	it sits looking over harbor	on silent haunches.
one window is all i need to see		the icy trees	after it just stormed.
the hawk spreads their wings	flying high up while i watch	and envy their luck
death is a wonder.	it never comes as a guest,	but as a beggar.
the wind doesn't stop,	cold is the little turtle:	he has no blanket
thunderstorms are	like a random loud boo but	then there's a flash after
he is a cheating brat,	he is cheated on my bestfriend,	wow he is a jerk
fresh cut hair itches	a reminder of my loss	i weep for the past
winter brings cold pain	these joints creak and crack and pop	when did i get old?
these words are crafty	they have stolen precious time	that you can't get back
inconceivable.	you keep on using this word.	you misunderstand.
red lights running down	the street and past the pine tree	where has the moon gone?
